TBK_t1,TBK_t2,TBK_t3
7.505,7.505,7.505
7.505,7.505,7.505
5.89,5.0,5.445
5.0,5.445,5.445
5.445,5.445,5.445
5.445,5.445,5.445
5.445,5.445,5.445
5.81,3.0,4.404999999999999
3.0,4.404999999999999,4.404999999999999
4.404999999999999,4.404999999999999,4.404999999999999
4.404999999999999,4.404999999999999,4.404999999999999
4.404999999999999,4.404999999999999,4.404999999999999
7.58,2.63,5.105
2.63,5.105,5.105
5.105,5.105,5.105
5.105,5.105,5.105
5.105,5.105,5.105
6.97,5.43,6.199999999999999
5.43,6.199999999999999,6.199999999999999
6.199999999999999,6.199999999999999,6.199999999999999
6.199999999999999,6.199999999999999,6.199999999999999
6.199999999999999,6.199999999999999,6.199999999999999
6.99,7.43,7.21
7.43,7.21,7.21
7.21,7.21,7.21
7.21,7.21,7.21
7.21,7.21,7.21
6.38,5.37,5.875
5.37,5.875,5.875
5.875,5.875,5.875
5.875,5.875,5.875
5.875,5.875,5.875
5.98,5.0,5.49
5.0,5.49,5.49
5.49,5.49,5.49
5.49,5.49,5.49
5.49,5.49,5.49
5.86,4.13,4.995
4.13,4.995,4.995
4.995,4.995,4.995
4.995,4.995,4.995
4.995,4.995,4.995
5.36,5.2,5.28
5.2,5.28,5.28
5.28,5.28,5.28
5.28,5.28,5.28
5.28,5.28,5.28
8.33,6.93,7.63
6.93,7.63,7.63
7.63,7.63,7.63
7.63,7.63,7.63
7.63,7.63,7.63
3.99,4.6,4.295
4.6,4.295,4.295
4.295,4.295,4.295
4.295,4.295,4.295
4.295,4.295,4.295
6.6,5.63,6.115
5.63,6.115,6.115
6.115,6.115,6.115
6.115,6.115,6.115
6.115,6.115,6.115
7.29,5.43,6.359999999999999
5.43,6.359999999999999,6.359999999999999
6.359999999999999,6.359999999999999,6.359999999999999
6.359999999999999,6.359999999999999,6.359999999999999
6.359999999999999,6.359999999999999,6.359999999999999
6.02,5.23,5.625
5.23,5.625,5.625
5.625,5.625,5.625
5.625,5.625,5.625
5.625,5.625,5.625
8.27,8.27,8.27
8.27,8.27,8.27
8.27,8.27,8.27
8.27,8.27,8.27
8.27,8.27,8.27
5.85,5.43,5.64
5.43,5.64,5.64
5.64,5.64,5.64
5.64,5.64,5.64
5.64,5.64,5.64
7.56,6.73,7.145
6.73,7.145,7.145
7.145,7.145,7.145
7.145,7.145,7.145
7.145,7.145,7.145
5.65,4.27,4.96
4.27,4.96,4.96
4.96,4.96,4.96
4.96,4.96,4.96
4.96,4.96,4.96
6.96,5.3,6.13
5.3,6.13,6.13
6.13,6.13,6.13
6.13,6.13,6.13
6.13,6.13,6.13
5.99,5.03,5.51
5.03,5.51,5.51
5.51,5.51,5.51
5.51,5.51,5.51
5.51,5.51,5.51
6.54,2.17,4.355
2.17,4.355,4.355
4.355,4.355,4.355
4.355,4.355,4.355
4.355,4.355,4.355
9.01,7.4,8.205
7.4,8.205,8.205
8.205,8.205,8.205
8.205,8.205,8.205
8.205,8.205,8.205
7.19,8.63,7.91
8.63,7.91,7.91
7.91,7.91,7.91
7.91,7.91,7.91
7.91,7.91,7.91
7.45,3.83,5.640000000000001
3.83,5.640000000000001,5.640000000000001
5.640000000000001,5.640000000000001,5.640000000000001
5.640000000000001,5.640000000000001,5.640000000000001
5.640000000000001,5.640000000000001,5.640000000000001
4.02,4.73,4.375
4.73,4.375,4.375
4.375,4.375,4.375
4.375,4.375,4.375
4.375,4.375,4.375
2.09,2.09,2.09
2.09,2.09,2.09
2.09,2.09,2.09
2.09,2.09,2.09
2.09,2.09,2.09
5.74,3.17,4.455
3.17,4.455,4.455
4.455,4.455,4.455
4.455,4.455,4.455
4.455,4.455,4.455
4.48,5.33,4.905
5.33,4.905,4.905
4.905,4.905,4.905
4.905,4.905,4.905
4.905,4.905,4.905
