TBK_t1,TBK_t2,TBK_t3
6.24,5.88,5.3
5.88,5.3,5.326666666666667
6.58,6.83,6.61
6.83,6.61,6.43
6.61,6.43,6.22
6.43,6.22,6.82
6.22,6.82,6.581666666666666
6.38,7.07,6.13
7.07,6.13,7.11
6.13,7.11,6.2
7.11,6.2,7.41
6.2,7.41,6.716666666666666
8.81,9.0,7.52
9.0,7.52,8.25
7.52,8.25,7.46
8.25,7.46,7.63
7.46,7.63,8.111666666666666
7.49,6.83,8.34
6.83,8.34,8.33
8.34,8.33,8.37
8.33,8.37,8.99
8.37,8.99,8.058333333333334
7.08,7.47,8.08
7.47,8.08,7.89
8.08,7.89,8.0
7.89,8.0,8.33
8.0,8.33,7.808333333333333
5.85,7.07,5.2
7.07,5.2,7.08
5.2,7.08,6.36
7.08,6.36,7.2
6.36,7.2,6.460000000000001
7.67,6.93,7.84
6.93,7.84,7.32
7.84,7.32,6.73
7.32,6.73,7.58
6.73,7.58,7.345
7.06,6.8,7.71
6.8,7.71,7.54
7.71,7.54,7.07
7.54,7.07,7.89
7.07,7.89,7.345
7.29,6.27,6.88
6.27,6.88,6.66
6.88,6.66,6.8
6.66,6.8,7.28
6.8,7.28,6.863333333333333
6.68,7.8,6.64
7.8,6.64,7.46
6.64,7.46,6.09
7.46,6.09,7.27
6.09,7.27,6.989999999999999
7.92,6.97,7.57
6.97,7.57,7.43
7.57,7.43,7.68
7.43,7.68,7.8
7.68,7.8,7.561666666666667
7.34,6.27,7.32
6.27,7.32,7.21
7.32,7.21,7.3
7.21,7.3,7.14
7.3,7.14,7.096666666666667
7.36,6.23,5.69
6.23,5.69,5.89
5.69,5.89,6.29
5.89,6.29,6.64
6.29,6.64,6.3500000000000005
6.47,6.07,6.58
6.07,6.58,6.56
6.58,6.56,5.75
6.56,5.75,6.65
5.75,6.65,6.346666666666667
7.39,6.83,6.64
6.83,6.64,6.51
6.64,6.51,6.72
6.51,6.72,7.27
6.72,7.27,6.8933333333333335
5.8,4.53,3.45
4.53,3.45,5.74
3.45,5.74,5.16
5.74,5.16,6.01
